ID,Tanggal,Jenis,Nama Transaksi,Akun,Akun Tujuan (Transfer),Anggota,Kategori,Jumlah (IDR),Catatan
160,2026-02-10 14:57:08,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,102000,gultik metro
161,2026-02-10 14:57:08,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",3000,
162,2026-02-11 11:30:59,Pengeluaran,Foodstuffs,UANG CASH,,basedata.myself,Foodstuffs ,23000,"telur, beras"
163,2026-02-11 11:30:59,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,5000,es teh jumbo
164,2026-02-11 11:30:59,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
165,2026-02-11 11:30:59,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,4000,air mineral
166,2026-02-12 06:30:22,Pengeluaran,TRINITY SCENT,BRI,,basedata.myself,TRINITY SCENT,100000,meja
167,2026-02-12 06:30:22,Pengeluaran,Nongkrongs,BRI,,basedata.myself,Nongkrongs ,50000,dua asa coffee
168,2026-02-12 06:37:24,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,20000,ayam geprek solo
169,2026-02-12 15:01:10,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
170,2026-02-12 15:01:10,Pengeluaran,Foodstuffs,UANG CASH,,basedata.myself,Foodstuffs ,15000,mie
171,2026-02-12 15:01:10,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,13000,gorengan
172,2026-02-13 15:27:35,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,13000,angkringan pak lik
173,2026-02-13 15:27:35,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",4000,
174,2026-02-14 09:56:02,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,33000,ayam geprek solo
175,2026-02-14 13:03:47,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,50000,
176,2026-02-14 15:14:06,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,300000,
177,2026-02-14 15:29:32,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
178,2026-02-14 15:29:32,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,55000,mie gacoan
179,2026-02-15 05:27:03,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,200000,
181,2026-02-15 07:58:10,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,24000,ayam geprek midodari
182,2026-02-15 07:58:10,Pengeluaran,House needs,UANG CASH,,basedata.myself,House needs ,4000,isi ulang galon
183,2026-02-15 07:58:10,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
184,2026-02-15 09:53:16,Pengeluaran,basedata.pet,UANG CASH,,basedata.myself,basedata.pet,60000,"pasir, dry food, dry treats"
185,2026-02-15 09:53:31,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
186,2026-02-15 12:27:02,Pengeluaran,House needs,BRI,,basedata.myself,House needs ,25000,btapas self service
187,2026-02-16 07:37:04,Pengeluaran,Bensin,UANG CASH,,basedata.myself,Bensin,30000,
188,2026-02-16 07:37:04,Pengeluaran,House needs,UANG CASH,,basedata.myself,House needs ,15000,spidol
189,2026-02-16 07:37:04,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
190,2026-02-16 07:37:04,Pemasukan,Mingguan Ortu,BRI,,basedata.myself,Mingguan Ortu,200000,
191,2026-02-16 07:37:04,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,5000,sprite
192,2026-02-16 07:37:04,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,5000,gorengan
193,2026-02-16 07:38:05,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,10000,klepon
194,2026-02-16 10:58:40,Pengeluaran,Food,UANG CASH,,basedata.myself,Food,66000,mie ayam pak jangkung surabaya
195,2026-02-16 10:58:59,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
196,2026-02-17 11:49:09,Pengeluaran,Nongkrongs,BRI,,basedata.myself,Nongkrongs ,25000,tengah hari coffee
197,2026-02-17 11:49:09,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
198,2026-02-17 11:49:09,Pengeluaran,Cemal Cemil,UANG CASH,,basedata.myself,Cemal Cemil,5000,pempek hksn
199,2026-02-17 11:49:09,Pengeluaran,basedata.pet,UANG CASH,,basedata.myself,basedata.pet,38000,wet food
200,2026-02-17 11:49:09,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",2000,
201,2026-02-17 12:15:24,Pengeluaran,"Ojol, Parkir",UANG CASH,,basedata.myself,"Ojol, Parkir",5000,
207,2026-02-17 16:00:00,Transfer,UANG CASH,BRI,UANG CASH,,,100000,
